person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
29,32997,Rent,7,Debtconsolidation,A,10000,5.79,0,0.3,N,7
24,33996,Rent,2,Education,D,5000,14.96,1,0.15,Y,4
22,24000,Own,1,Venture,A,8000,7.51,0,0.33,N,3
40,150000,Mortgage,5,Personal,B,12000,10.37,0,0.08,N,15
23,45000,Rent,1,Debtconsolidation,C,2000,13.49,0,0.04,N,2
31,60000,Mortgage,5,Medical,A,7200,6.03,0,0.12,N,8
33,100000,Mortgage,16,Medical,B,6000,8.94,NULL,NULL,N,12
29,90000,Mortgage,14,Homeimprovement,B,15000,11.11,0,0.17,N,9
23,95004,Rent,2,Education,A,5000,9.63,0,0.05,N,4
35,27996,Rent,14,Medical,B,8500,11.58,0,0.3,N,8
28,55000,Mortgage,6,Education,A,2400,NULL,0,0.04,N,8
30,28800,Rent,1,Debtconsolidation,C,8000,12.73,0,0.28,N,10
22,45000,Rent,3,Venture,B,5000,12.42,0,0.11,N,2
31,52000,Rent,4,Venture,B,10000,11.83,0,0.19,N,7
28,115000,Mortgage,11,Homeimprovement,A,5000,7.51,0,0.04,N,8
23,34000,Rent,0,Medical,A,1000,7.37,0,0.03,N,4
25,42000,Rent,2,Medical,B,6600,10.65,0,0.16,N,4
24,54000,Own,8,Personal,B,10000,10.99,0,0.19,N,3
23,65000,Mortgage,7,Education,A,10000,7.49,0,0.15,N,2
28,61000,Rent,9,Personal,B,25000,9.91,1,0.41,N,7
34,50725,Rent,1,Personal,C,5400,13.16,0,0.11,Y,9
23,74000,Rent,3,Medical,B,25000,10.36,1,0.34,N,2
31,65000,Mortgage,4,Debtconsolidation,B,20000,11.71,0,0.31,N,9
23,34000,Rent,7,Education,B,10000,10.36,1,0.29,N,4
22,42996,Rent,2,Debtconsolidation,C,14400,NULL,1,0.33,Y,4
22,24449,Own,2,Venture,B,1800,11.89,0,0.07,N,4
33,108000,Rent,11,Venture,B,3000,11.36,0,0.03,N,5
36,46000,Rent,2,Debtconsolidation,C,10000,12.53,0,0.22,N,14
41,50000,Rent,0,Personal,B,6000,8.88,0,0.12,N,17
26,31104,Rent,1,Debtconsolidation,B,4000,9.99,0,0.13,N,3
22,60000,Own,7,Venture,D,15000,16.49,0,0.25,Y,2
47,52000,Mortgage,4,Debtconsolidation,A,12000,7.29,0,0.23,N,13
25,95000,Rent,4,Venture,B,15000,12.42,0,0.16,N,2
22,76296,Mortgage,6,Venture,A,18000,7.88,0,0.24,N,3
31,100000,Mortgage,6,Homeimprovement,C,13000,12.61,0,0.13,N,7
25,43000,Rent,2,Venture,A,7800,7.14,0,0.18,N,3
25,58020,Rent,9,Personal,A,2000,6.91,0,0.03,N,4
27,68000,Rent,4,Homeimprovement,A,8700,7.88,0,0.13,N,5
23,54996,Mortgage,7,Debtconsolidation,B,NULL,8.9,0,0.06,N,3
35,30000,Rent,0,Education,A,6475,5.42,0,0.22,N,7
26,40000,Rent,1,Personal,B,12000,11.58,0,0.3,N,2
23,50000,Rent,4,Debtconsolidation,B,6000,11.49,0,0.12,N,3
25,61440,Rent,9,Venture,B,8000,10.36,0,0.13,N,4
22,29000,Rent,2,Education,B,10500,9.99,1,0.36,N,3
25,44000,Mortgage,4,Medical,D,5550,14.11,1,0.13,Y,4
23,50000,Mortgage,3,Personal,B,10000,10.99,0,0.2,N,3
26,108000,Mortgage,4,Personal,A,9000,5.79,0,0.08,N,2
23,70000,Mortgage,5,Education,B,20000,12.21,0,0.29,N,4
25,80140,Mortgage,4,Debtconsolidation,B,11300,10.37,0,0.14,N,2
28,34000,Rent,1,Venture,B,4800,11.49,0,0.14,N,7
22,78413,Mortgage,6,Education,B,17500,10.65,0,0.22,N,2
21,24000,Mortgage,0,Venture,A,3000,7.9,0,0.13,N,4
27,22800,Mortgage,11,Medical,B,2500,10.99,0,0.11,N,10
53,95000,Own,24,Personal,A,6000,5.42,0,0.06,N,30
26,31200,Rent,8,Personal,A,5000,8.63,0,0.16,N,2
39,65000,Mortgage,3,Education,D,6000,15.62,0,0.09,Y,14
25,45000,Rent,9,Debtconsolidation,B,12000,9.62,0,0.27,N,3
31,65000,Mortgage,3,Debtconsolidation,A,10000,11.03,NULL,NULL,N,3
24,25000,Rent,0,Homeimprovement,B,8500,12.21,1,0.34,N,2
29,24960,Rent,13,Venture,A,4000,5.42,0,0.16,N,6
22,81600,Mortgage,6,Personal,A,1300,6.39,0,0.02,N,3
25,90000,Mortgage,7,Debtconsolidation,A,6000,7.14,0,0.07,N,3
27,44640,Rent,0,Medical,B,12800,11.83,0,0.29,N,9
24,85000,Mortgage,8,Education,B,20000,11.11,0,0.24,N,4
26,87000,Mortgage,9,Debtconsolidation,C,25000,12.73,0,0.29,N,2
22,54000,Rent,4,Debtconsolidation,C,9000,15.96,0,0.17,Y,3
22,43000,Rent,1,Venture,D,7500,14.96,1,0.17,N,3
24,78000,Mortgage,8,Debtconsolidation,A,3600,5.42,0,0.05,N,4
22,73000,Mortgage,6,Education,B,7000,10.59,0,0.1,N,2
24,65000,Mortgage,6,Personal,B,11000,11.49,0,0.17,N,2
NULL,70000,Rent,5,Education,B,13225,16.11,0,NULL,Y,7
32,230000,Rent,0,Homeimprovement,A,15000,5.99,0,0.07,N,5
23,35500,Rent,2,Homeimprovement,D,9000,15.99,1,0.25,Y,2
22,104000,Rent,3,Medical,C,15900,13.49,0,0.15,N,2
22,64312,Mortgage,4,Venture,D,5000,14.91,0,0.08,Y,4
36,50000,Rent,5,Education,A,6500,NULL,0,0.13,N,15
23,20664,Rent,4,Education,C,4550,13.72,0,0.22,Y,3
29,60000,Rent,13,Homeimprovement,D,17000,14.96,0,0.28,N,8
28,31200,Rent,3,Debtconsolidation,A,3600,6.39,0,0.12,N,7
22,30004,Own,6,Education,A,7500,NULL,0,0.25,N,2
30,36000,Mortgage,14,Homeimprovement,B,7000,10.65,0,0.19,N,5
34,60000,Rent,1,Education,B,10000,9.62,0,0.17,N,9
22,30000,Rent,0,Medical,A,7000,8.9,0,0.23,N,4
25,65000,Rent,2,Debtconsolidation,B,4200,NULL,0,0.06,N,2
26,47000,Rent,0,Homeimprovement,D,25000,15.28,1,0.53,Y,2
28,72000,Mortgage,9,Homeimprovement,B,18000,11.89,0,0.25,N,8
32,160000,Mortgage,2,Medical,B,3200,NULL,0,0.02,N,5
24,47000,Rent,8,Debtconsolidation,B,NULL,11.49,0,0.19,,4
22,90000,Mortgage,6,Debtconsolidation,A,16000,6.03,0,0.18,N,3
33,62400,Rent,4,Education,B,15000,11.99,0,0.24,N,8
34,89000,Rent,3,Homeimprovement,D,35000,18.25,1,0.39,N,8
30,75000,Rent,2,Medical,C,6000,12.68,0,0.08,N,8
30,100000,Rent,13,Debtconsolidation,A,12000,7.88,0,0.12,N,9
31,28800,Rent,0,Personal,C,6200,12.23,0,0.22,N,9
23,NULL,Rent,0,Medical,A,12000,15.68,0,NULL,Y,3
27,91800,Mortgage,4,Medical,D,25000,16.07,1,0.23,N,9
24,44000,Rent,1,Venture,D,10000,NULL,1,0.23,Y,3
22,88200,Mortgage,6,Debtconsolidation,A,21000,6.17,0,0.24,N,2
25,60000,Mortgage,6,Venture,D,8400,16.89,0,0.14,N,3
24,38700,Rent,2,Medical,B,10000,NULL,0,0.26,N,3
33,63996,Mortgage,15,Education,A,3200,5.42,0,0.05,N,8
22,56368,Mortgage,5,Education,C,6000,12.99,0,0.11,N,2
23,30188,Rent,3,Personal,C,8000,14.65,0,0.27,N,2
21,30000,Rent,0,Venture,A,3500,NULL,0,0.12,N,4
23,32000,Rent,0,Medical,C,8500,13.16,0,0.27,Y,4
39,48000,Rent,3,Medical,C,8400,12.53,0,0.17,Y,17
22,35000,Rent,4,Personal,C,5000,13.23,0,0.14,N,2
41,70000,Mortgage,12,Debtconsolidation,B,NULL,NULL,0,0.06,Y,14
23,17688,Rent,0,Debtconsolidation,B,1700,11.11,0,0.1,N,3
31,190000,Mortgage,4,Debtconsolidation,A,9000,6.03,0,0.05,N,7
31,111000,Mortgage,3,Personal,A,5150,6.62,0,0.05,N,7
25,54000,Mortgage,9,Debtconsolidation,B,12000,12.53,1,0.22,N,4
23,52800,Rent,3,Education,A,4500,6.76,0,0.09,N,4
25,42000,Rent,2,Education,A,12000,7.9,0,0.29,N,4
NULL,41160,Rent,2,Debtconsolidation,A,NULL,12.99,0,0.29,N,3
25,100500,Rent,5,Personal,B,9000,NULL,0,0.09,N,4
37,44000,Rent,0,Personal,B,1700,10.59,1,0.04,N,17
25,44000,Rent,1,Education,A,2800,6.92,0,0.06,N,3
23,60000,Mortgage,7,Venture,A,7200,NULL,0,0.12,N,4
23,60000,Rent,1,Education,C,11000,14.22,0,0.18,N,4
32,77500,Mortgage,3,Personal,B,13000,NULL,0,0.17,N,10
27,120000,Mortgage,2,Venture,B,16000,12.21,0,0.13,N,5
26,28800,Rent,10,Medical,B,15000,10,1,0.52,N,3
23,34320,Rent,5,Debtconsolidation,F,7000,18.3,1,0.2,Y,3
23,44000,Rent,7,Medical,C,9800,13.11,1,0.22,N,2
26,85000,Mortgage,0,Venture,B,20000,10.37,0,0.24,N,2
28,13500,Own,0,Venture,A,6700,9.63,1,0.5,N,8
24,36000,Mortgage,3,Medical,C,8000,13.61,0,0.22,N,2
31,86000,Rent,0,Personal,A,2000,5.99,0,0.02,N,5
28,130000,Mortgage,2,Homeimprovement,D,12000,13.55,0,0.09,Y,8
35,175000,Own,19,Medical,C,24000,12.73,0,0.14,N,10
21,12540,Rent,NULL,Homeimprovement,A,2500,7.88,1,0.2,N,2
23,74758,Mortgage,3,Debtconsolidation,B,11050,10.37,0,0.15,N,3
21,24000,Rent,5,Education,A,10000,NULL,1,0.42,N,2
26,72000,Mortgage,1,Homeimprovement,D,10500,15.28,0,0.15,Y,2
27,35004,Rent,7,Medical,B,5000,10.75,0,0.14,N,8
42,30000,Rent,0,Debtconsolidation,A,4200,7.49,0,0.14,N,13
28,70910,Rent,8,Medical,E,3000,17.44,1,0.04,Y,5
26,28800,Own,8,Education,A,6000,8.9,0,0.21,N,3
23,NULL,Mortgage,7,Medical,,6000,7.9,0,0.11,N,7
26,250000,Mortgage,11,Homeimprovement,B,9000,9.99,0,0.04,N,2
37,63000,Rent,1,Education,A,14900,9.63,0,0.24,N,17
21,45000,Rent,5,Education,B,10000,NULL,0,0.22,N,2
28,65000,Rent,2,Homeimprovement,C,7200,13.98,0,0.11,Y,5
32,85000,Rent,5,Medical,B,12800,10.75,0,0.15,N,7
30,71400,Rent,0,Homeimprovement,C,9600,12.61,0,0.13,N,6
35,273700,Mortgage,8,Medical,D,25000,14.59,1,0.08,N,6
NULL,45600,Mortgage,0,Education,A,15000,NULL,0,0.2,N,7
25,26000,Rent,4,Medical,C,8000,12.87,1,0.31,Y,3
37,35000,Rent,NULL,Debtconsolidation,D,8000,5.42,NULL,0.36,N,4
31,110000,Mortgage,4,Debtconsolidation,B,6000,11.99,0,0.05,N,7
26,120000,Rent,3,Homeimprovement,A,5000,7.68,0,0.04,N,2
21,35000,Rent,5,Medical,A,9000,8.94,0,0.26,N,3
27,66300,Rent,1,Medical,D,9600,NULL,1,0.12,N,7
23,51000,Rent,1,Medical,A,7000,6.99,0,0.14,N,3
27,258000,Rent,11,Education,E,35000,18.64,1,0.14,Y,7
23,20800,Rent,0,Debtconsolidation,B,3000,11.46,0,0.14,N,4
37,14400,Rent,2,Personal,A,6950,7.66,1,0.48,N,13
25,49000,Own,4,Venture,A,2500,6.76,0,0.05,N,3
28,42000,Rent,5,Personal,B,4800,12.42,0,0.11,N,9
22,22292,Rent,5,Debtconsolidation,D,3500,16.49,1,0.16,N,3
24,36000,Rent,1,Personal,B,8000,12.12,1,0.22,N,4
34,29152,Rent,NULL,Venture,B,5000,10.36,0,0.17,N,7
23,65000,Rent,6,Personal,A,8000,9.32,0,0.12,N,3
24,87550,Mortgage,5,Education,B,3600,11.86,0,0.04,N,4
25,177160,Mortgage,2,Venture,B,24000,11.11,0,0.14,N,4
24,32304,Rent,8,Medical,B,1500,9.91,1,0.05,N,3
36,52000,Mortgage,8,Debtconsolidation,B,2275,11.86,0,0.04,N,12
26,87500,Other,3,Venture,D,7500,15.05,0,0.09,Y,2
23,36000,Rent,0,Education,C,3000,12.29,1,0.08,N,2
24,35000,Rent,0,Personal,B,4200,10.37,0,0.12,N,4
22,128165,Rent,6,Debtconsolidation,A,14000,8.94,0,0.11,N,3
24,78000,Rent,4,Debtconsolidation,D,30000,NULL,1,0.38,Y,4
36,32000,,9,Education,B,NULL,7.51,0,0.16,N,5
25,50000,Rent,2,Medical,E,7000,15.57,1,0.14,N,3
27,62900,Mortgage,1,Medical,B,8000,11.46,1,0.11,N,8
22,41000,Rent,3,Debtconsolidation,C,15000,12.73,1,0.37,N,3
23,60000,Rent,3,Personal,B,17000,11.11,0,0.28,N,2
24,110000,Rent,8,Venture,A,3000,7.88,0,0.03,N,2
22,44582,Rent,6,Homeimprovement,A,4000,5.99,1,0.09,N,4
25,75000,Mortgage,9,Debtconsolidation,C,8500,13.22,0,0.11,N,4
35,40000,Rent,6,Debtconsolidation,C,5100,13.72,0,0.13,Y,5
34,28500,Rent,0,Education,B,9175,12.69,1,0.32,N,5
29,21996,Rent,4,Debtconsolidation,C,2500,13.11,1,0.11,Y,8
22,57000,Mortgage,1,Venture,A,3200,5.99,0,0.06,N,4
23,250000,Mortgage,7,Education,B,8800,10,0,0.04,N,2
29,39000,Mortgage,12,Personal,A,16000,5.99,0,0.41,N,8
23,17688,Rent,0,Debtconsolidation,B,20000,NULL,1,NULL,N,6
25,56004,Rent,3,Personal,C,7000,14.22,0,0.12,N,4
28,48000,Rent,1,Venture,B,2650,11.26,0,0.06,N,6
48,85000,Mortgage,0,Education,A,10000,7.51,0,0.12,N,13
22,71000,Rent,6,Education,A,1500,6.99,0,0.02,N,3
28,15000,Own,2,Personal,B,4375,12.42,1,0.29,N,9
21,120000,Rent,2,Debtconsolidation,B,10000,11.71,0,0.08,N,3
26,74400,Mortgage,10,Debtconsolidation,A,15000,6.54,0,0.2,N,4
28,55000,Mortgage,7,Debtconsolidation,A,22000,NULL,0,0.4,N,10
36,30996,Rent,2,Personal,C,5500,12.53,0,0.18,Y,15
24,70000,Rent,0,Medical,A,10000,7.29,0,0.14,N,3
28,90000,Mortgage,12,Homeimprovement,C,5000,14.79,0,0.06,Y,8
32,44004,Rent,2,Debtconsolidation,F,5000,18.25,1,0.11,N,5
21,40000,Rent,5,Education,B,1500,12.18,0,0.04,N,4
25,70000,Rent,1,Venture,A,5750,8,0,0.08,N,4
24,36396,Rent,8,Debtconsolidation,A,5000,6.03,0,0.14,N,3
33,NULL,,4,Venture,A,7000,12.98,0,0.07,Y,8
30,9600,Rent,1,Debtconsolidation,C,1500,12.73,1,0.16,Y,9
37,200004,Mortgage,0,Personal,C,5000,NULL,0,0.02,N,12
22,38004,Own,0,Venture,D,3000,12.92,0,0.08,Y,3
24,56000,Own,8,Education,B,2000,11.49,0,0.04,N,2
29,73000,Rent,7,Debtconsolidation,C,2500,14.35,0,0.03,Y,8
28,55000,,6,Education,A,6000,NULL,1,0.32,N,12
26,70000,Mortgage,9,Venture,A,35000,7.9,0,0.5,N,2
42,100000,Mortgage,7,Education,C,5000,14.26,0,0.05,N,12
30,65000,Rent,1,Personal,B,12000,11.49,0,0.18,N,7
36,100000,Mortgage,17,Debtconsolidation,A,6000,7.14,0,0.06,N,17
42,30000,Rent,5,Venture,D,8000,14.96,0,0.27,N,15
26,65000,Rent,4,Personal,A,8000,6.92,0,0.12,N,4
26,59600,Mortgage,9,Venture,E,21000,16.45,1,0.35,N,2
23,54996,Rent,4,Education,B,16700,10.37,0,0.3,N,3
21,39000,Rent,4,Education,B,6000,10.38,0,0.15,N,3
24,50000,Rent,6,Personal,A,4000,7.66,0,0.08,N,4
33,75000,Mortgage,17,Education,C,12000,NULL,0,0.16,Y,10
24,39000,Mortgage,3,Homeimprovement,A,5600,5.42,0,0.14,N,4
21,30000,Rent,0,Debtconsolidation,A,1500,7.29,0,0.05,N,3
31,102000,Mortgage,5,Education,A,4000,7.88,0,0.04,N,10
25,23712,Rent,9,Medical,B,1000,11.49,0,0.04,N,2
29,69000,Mortgage,6,Personal,D,18000,12.61,0,0.26,N,9
25,52000,Mortgage,9,Homeimprovement,A,24500,6.17,0,0.47,N,3
23,72250,Mortgage,7,Medical,D,35000,15.99,1,0.41,N,2
22,130000,Mortgage,3,Education,C,14500,NULL,0,0.11,Y,4
30,51000,Mortgage,4,Personal,B,2000,10.99,0,0.04,N,10
23,60000,Rent,7,Debtconsolidation,B,25000,10.25,1,0.42,N,2
24,54400,,8,Homeimprovement,A,11000,NULL,0,0.25,N,12
39,92000,Mortgage,1,Personal,C,20000,14.79,0,0.22,N,16
22,72000,Own,6,Venture,B,16000,10.37,0,0.22,N,3
29,148716,Rent,4,Personal,C,24250,13.23,0,0.16,Y,9
22,44004,Mortgage,3,Education,D,9000,14.11,1,0.2,N,4
35,50000,Mortgage,0,Education,C,5600,12.53,0,0.11,Y,7
38,27600,Rent,3,Medical,D,5000,14.59,1,0.18,Y,16
23,72000,Mortgage,7,Education,A,20000,7.49,0,0.28,N,2
27,84906,Mortgage,11,Debtconsolidation,A,4500,7.51,0,0.05,N,10
28,81120,Rent,0,Personal,A,8350,7.49,0,0.1,N,8
23,65000,Rent,2,Debtconsolidation,,5000,14.59,0,0.18,Y,10
28,67000,Rent,3,Homeimprovement,B,12000,NULL,0,0.18,N,5
23,50000,Mortgage,5,Venture,A,3600,5.99,0,0.07,N,2
29,46000,Rent,6,,B,6000,NULL,1,0.18,N,4
28,46000,Rent,3,Debtconsolidation,E,9000,17.56,1,0.2,Y,7
23,69996,Rent,8,Education,B,13000,11.58,0,0.19,N,3
22,72321,Rent,6,Personal,B,6650,NULL,0,0.09,N,4
29,141000,Mortgage,1,Venture,A,8000,6.99,0,0.06,N,9
23,47000,Mortgage,8,Venture,A,7500,7.51,0,0.16,N,4
26,48000,Rent,3,Venture,A,4000,5.79,0,0.08,N,2
29,70000,Rent,2,Personal,A,4500,5.42,0,0.06,N,9
24,80000,Own,8,Venture,A,12000,7.49,0,0.15,N,3
36,52000,Mortgage,2,Homeimprovement,A,8000,7.51,0,0.15,N,14
25,74000,Mortgage,5,Homeimprovement,D,10000,14.59,0,0.14,Y,4
34,62900,Mortgage,11,Medical,A,18000,8.94,1,0.24,N,5
25,35400,Rent,2,Medical,A,2000,8.49,0,0.06,N,2
28,85000,Mortgage,2,Education,A,15000,8.49,0,0.18,N,7
26,106000,Mortgage,9,Education,D,10000,15.33,0,0.09,Y,3
22,45996,Rent,2,Education,A,8000,7.51,0,0.17,N,3
27,24000,Mortgage,2,Debtconsolidation,B,9200,NULL,0,0.38,N,9
22,25000,Rent,0,Debtconsolidation,B,4000,10.36,0,0.16,N,2
35,38760,Rent,2,Medical,F,8000,18.09,1,0.21,Y,7
25,44966,Rent,3,Medical,A,10025,5.42,0,0.22,N,4
23,48500,Rent,5,Medical,A,3850,8.49,0,0.08,N,2
26,75000,Rent,0,Medical,B,12000,10.38,0,0.16,N,3
27,35000,Own,2,Homeimprovement,B,6000,11.99,0,0.17,N,10
35,100000,Mortgage,19,Venture,B,1800,9.63,0,0.02,N,8
21,31680,Rent,5,Venture,C,15000,12.61,1,0.47,Y,2
30,37400,Mortgage,6,Medical,D,12700,17.27,1,0.34,N,5
24,32000,,1,Medical,A,10800,NULL,0,0.25,N,6
34,72000,Rent,17,Medical,C,2400,13.16,0,0.03,N,8
27,44000,Rent,1,Venture,D,5000,16.89,1,0.11,Y,10
23,52800,Rent,4,Venture,C,14000,14.27,0,0.27,N,3
25,39996,Rent,3,Medical,A,5000,6.92,0,0.13,N,3
23,70000,Rent,1,Venture,C,3000,14.27,0,0.04,Y,2
27,105000,Rent,1,Homeimprovement,B,16000,NULL,0,0.15,N,8
26,62000,Mortgage,10,Venture,C,10000,13.43,0,0.16,Y,2
32,156000,Mortgage,14,Personal,B,10000,9.63,0,0.06,N,9
30,49000,Own,NULL,Medical,A,12000,14.27,NULL,0.16,Y,2
24,54000,Rent,5,Venture,C,21600,13.49,1,0.4,N,2
26,95400,Mortgage,8,Personal,C,5000,12.68,0,0.05,N,3
38,40000,Rent,4,Education,B,18225,12.42,1,0.46,N,17
28,100000,Rent,1,Education,A,10000,7.51,0,0.1,N,7
28,69000,Rent,1,Venture,D,12000,14.46,1,0.17,N,9
22,44000,Rent,2,Venture,D,10000,15.58,1,0.23,N,3
23,43500,Rent,2,Personal,C,10400,13.49,0,0.24,N,4
24,87504,Own,9,Venture,B,7000,8.88,0,0.08,N,3
22,26000,Mortgage,4,Personal,B,4000,9.25,0,0.15,N,2
28,56100,Rent,9,Medical,D,20000,14.59,1,0.3,Y,5
22,25000,Rent,3,Education,B,3000,12.69,0,0.12,N,3
24,70000,Rent,0,Medical,C,6425,13.72,0,0.09,N,2
24,90000,Mortgage,8,Personal,C,5000,11.34,0,0.06,Y,4
31,110000,Mortgage,5,,D,19200,NULL,NULL,0.26,N,2
25,38748,Rent,2,Personal,A,3000,7.29,0,0.08,N,3
26,57000,Mortgage,10,Venture,A,14000,5.42,0,0.25,N,4
33,58344,Rent,5,Venture,D,11975,16.29,0,0.21,Y,9
22,42000,Rent,3,Education,B,8500,12.53,0,0.2,N,4
26,75000,Rent,0,Debtconsolidation,A,7000,8.9,0,0.09,N,4
38,48000,Mortgage,1,Personal,A,18000,8.49,0,0.38,N,11
25,62000,Rent,9,Debtconsolidation,A,7000,7.49,0,0.11,N,4
22,28800,Mortgage,0,Venture,B,11500,NULL,0,0.4,N,3
23,112995,Rent,7,Venture,A,2500,7.37,0,0.02,N,3
23,43200,Rent,7,Medical,C,5000,12.87,0,0.12,Y,3
22,25000,Mortgage,0,Homeimprovement,B,3000,9.99,1,0.12,N,3
26,38400,Rent,0,Medical,A,12000,5.99,1,0.31,N,2
22,36614,Rent,5,Medical,B,7000,9.99,1,0.19,N,4
30,39750,Mortgage,3,Homeimprovement,B,1425,10.37,0,0.04,N,5
32,130000,Mortgage,0,Personal,A,12000,8.59,0,0.09,N,7
40,182004,Mortgage,7,Homeimprovement,D,25000,16.07,0,0.14,Y,12
23,57000,Own,7,Education,B,4200,10.51,0,0.07,N,3
24,50000,Rent,4,Venture,A,18000,7.9,1,0.36,N,4
22,26500,Rent,3,Debtconsolidation,A,1900,7.29,1,0.07,N,3
24,85100,Rent,3,Education,C,15000,NULL,0,0.18,Y,2
29,97000,Rent,4,Venture,B,25000,10.37,0,0.26,N,10
22,50000,Rent,4,Education,A,9350,7.49,0,0.19,N,3
26,65000,Rent,1,Venture,A,3000,5.79,0,0.05,N,2
27,41000,Mortgage,3,Personal,A,10000,8.59,0,0.24,N,8
